t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
2.002500,BARO,-0.67345866,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.721899,1,1
2.005000,GPS,1.79468181,0.01308431,-1.51306844,0.13071432,-0.07768380,0.02690022,2.753499,6,1
2.022500,MAG,0.84820207,0.14222079,1.80180500,0.00000000,0.00000000,0.00000000,6.224064,3,1
2.022500,BARO,-0.86897342,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.852866,1,1
2.042500,MAG,-0.17889346,0.11145342,2.16803987,0.00000000,0.00000000,0.00000000,7.104389,3,1
2.042500,BARO,-0.42546437,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.685282,1,1
2.062500,MAG,0.74954187,-0.53642413,0.50004866,0.00000000,0.00000000,0.00000000,1.618978,3,1
2.062500,BARO,-0.40064997,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.608775,1,1
2.082500,MAG,1.11782397,-1.11279021,1.48332877,0.00000000,0.00000000,0.00000000,7.054476,3,1
2.082500,BARO,-0.65146752,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.612191,1,1
2.102500,MAG,2.30392296,0.96493394,1.73153983,0.00000000,0.00000000,0.00000000,14.073773,3,1
2.102500,BARO,-0.39592248,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.596327,1,1
2.105000,GPS,-2.41095098,-0.79489108,-1.24139912,-0.18923538,-0.14841540,0.32561624,7.063685,6,1
2.122500,MAG,-0.41460108,-1.32727861,1.29790072,0.00000000,0.00000000,0.00000000,4.989936,3,1
2.122500,BARO,-0.10877484,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.044740,1,1
2.142500,MAG,0.24133835,-0.65714911,0.27556344,0.00000000,0.00000000,0.00000000,0.789411,3,1
2.142500,BARO,0.30422985,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.350654,1,1
2.162500,MAG,-0.88716683,0.17642053,0.74903314,0.00000000,0.00000000,0.00000000,1.905665,3,1
2.162500,BARO,-0.73941360,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.074904,1,1
2.182500,MAG,0.48641211,-0.11221819,0.43241314,0.00000000,0.00000000,0.00000000,0.670143,3,1
2.182500,BARO,0.28583814,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.310553,1,1
2.202500,MAG,1.40431035,-0.96929774,0.90856331,0.00000000,0.00000000,0.00000000,5.568712,3,1
2.202500,BARO,0.15952065,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.096858,1,1
2.205000,GPS,0.59956301,-0.24644341,1.18450410,-0.15811013,0.07087550,0.05658020,1.568669,6,1
2.222500,MAG,-0.74595382,0.52284709,0.81729964,0.00000000,0.00000000,0.00000000,2.013400,3,1
2.222500,BARO,-0.07498412,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.021261,1,1
2.242500,MAG,1.03607757,-0.83201300,0.95373985,0.00000000,0.00000000,0.00000000,3.963247,3,1
